mem num,reason for leaving
132224,Moving from Area
132222,Moving from Area
132208,Moving from Area
132182,Moving from Area
111492,Moving from Area
132094,Moving from Area
131960,Moving from Area
131958,Moving from Area
131952,Moving from Area
131948,Moving from Area
131934,Moving from Area
131860,Moving from Area
131844,Moving from Area
131840,Moving from Area
131794,Moving from Area
131790,Moving from Area
131776,Moving from Area
131772,Moving from Area
131770,Moving from Area
131762,Moving from Area
131758,Moving from Area
131752,Moving from Area
131748,Moving from Area
131744,Moving from Area
131732,Moving from Area
131716,Moving from Area
131708,Moving from Area
131706,Moving from Area
131694,Moving from Area
131656,Moving from Area
131632,Moving from Area
131626,Moving from Area
131622,Moving from Area
131608,Moving from Area
131584,Moving from Area
131578,Moving from Area
131576,Moving from Area
131564,Moving from Area
131554,Moving from Area
131534,Moving from Area
131056,Moving from Area
131498,Moving from Area
131496,Moving from Area
131494,Moving from Area
131432,Moving from Area
131418,Moving from Area
131416,Moving from Area
131394,Moving from Area
131392,Moving from Area
131388,Moving from Area
131338,Moving from Area
131326,Moving from Area
131324,Moving from Area
131318,Moving from Area
131300,Moving from Area
131286,Moving from Area
131282,Moving from Area
131246,Moving from Area
131186,Moving from Area
131182,Moving from Area
131176,Moving from Area
131174,Moving from Area
131142,Moving from Area
131140,Moving from Area
131100,Moving from Area
131092,Moving from Area
131074,Moving from Area
131072,Moving from Area
131036,Moving from Area
131026,Moving from Area
131010,Moving from Area
131004,Moving from Area
130912,Moving from Area
130982,Moving from Area
130980,Moving from Area
130972,Moving from Area
130970,Moving from Area
130956,Moving from Area
130920,Moving from Area
130908,Moving from Area
130898,Moving from Area
130870,Moving from Area
130828,Moving from Area
130818,Moving from Area
130804,Moving from Area
130770,Moving from Area
130748,Moving from Area
130720,Moving from Area
130710,Moving from Area
130692,Moving from Area
130690,Moving from Area
130680,Moving from Area
130668,Moving from Area
130660,Moving from Area
130658,Moving from Area
130648,Moving from Area
130636,Moving from Area
130634,Moving from Area
130632,Moving from Area
130628,Moving from Area
130626,Moving from Area
130618,Moving from Area
130614,Moving from Area
130612,Moving from Area
130606,Moving from Area
130600,Moving from Area
130588,Moving from Area
130582,Moving from Area
130564,Moving from Area
130548,Moving from Area
130544,Moving from Area
130536,Moving from Area
130534,Moving from Area
130480,Moving from Area
130474,Moving from Area
130470,Moving from Area
130468,Moving from Area
130416,Moving from Area
130410,Moving from Area
130330,Moving from Area
130322,Moving from Area
130318,Moving from Area
130306,Moving from Area
130294,Moving from Area
130292,Moving from Area
130216,Moving from Area
130206,Moving from Area
130196,Moving from Area
130172,Moving from Area
130170,Moving from Area
130168,Moving from Area
130166,Moving from Area
130164,Moving from Area
130158,Moving from Area
130154,Moving from Area
130112,Moving from Area
130076,Moving from Area
130072,Moving from Area
121106,Moving from Area
130026,Moving from Area
129974,Moving from Area
129926,Moving from Area
129900,Moving from Area
129884,Moving from Area
129860,Moving from Area
129816,Moving from Area
129808,Moving from Area
129804,Moving from Area
129792,Moving from Area
129752,Moving from Area
129730,Moving from Area
129728,Moving from Area
129722,Moving from Area
129720,Moving from Area
129714,Moving from Area
129712,Moving from Area
129702,Moving from Area
129680,Moving from Area
129674,Moving from Area
129644,Moving from Area
129632,Moving from Area
129624,Moving from Area
129618,Moving from Area
129584,Moving from Area
129582,Moving from Area
129510,Moving from Area
129480,Moving from Area
129472,Moving from Area
129454,Moving from Area
129452,Moving from Area
129446,Moving from Area
