mem num,zipcode
108932,48104
108932,48104
108932,48104
108932,48104
108936,48104
108936,48104
108936,48104
108936,48104
108944,48105
108944,48105
108944,48105
108944,48105
108944,48105
108944,48105
108946,48103
108946,48103
108946,48103
108946,48103
108946,48103
108946,48103
108948,48198
108948,48198
108948,48198
108948,48198
108948,48198
108952,48104
108952,48104
108952,48104
108952,48104
108954,48105
108954,48105
108954,48105
108954,48105
108954,48105
108954,48105
108958,0
108958,0
108962,48103
108962,48103
108962,48103
108962,48103
108962,48103
108962,48103
108964,48103
108964,48103
108964,48103
108964,48103
108964,48103
108964,48103
108972,48823
108972,48823
108978,48103
108978,48103
108978,48103
108978,48103
108978,48103
108978,48103
108982,48105
108982,48105
108982,48105
108982,48105
108982,48105
108982,48105
108696,48103
108696,48103
108696,48103
108696,48103
108696,48103
108696,48103
108698,48197
108698,48197
108698,48197
108698,48197
108698,48197
108698,48197
108702,48176
108704,48198
108704,48198
108704,48198
108704,48198
108704,48198
108706,48105
108706,48105
108706,48105
108706,48105
108706,48105
108706,48105
108708,48105
108708,48105
108708,48105
108708,48105
108708,48105
108708,48105
108710,48104
108710,48104
108710,48104
108710,48104
108714,48104
108714,48104
108714,48104
108714,48104
108716,48104
108716,48104
108716,48104
108716,48104
108728,48104
108728,48104
108728,48104
108728,48104
108732,48104
108732,48104
108732,48104
108732,48104
108740,48104
108740,48104
108740,48104
108740,48104
108742,48060
108742,48060
108746,48104
108746,48104
108746,48104
108746,48104
108752,92373
108752,92373
108752,92373
108754,48198
108754,48198
108754,48198
108754,48198
108754,48198
108756,48198
108756,48198
108756,48198
108756,48198
108756,48198
108758,48104
108758,48104
108758,48104
108758,48104
108764,48108
108766,48104
108766,48104
108766,48104
108766,48104
108770,48104
108770,48104
108770,48104
108770,48104
108772,48105
108772,48105
108772,48105
108772,48105
108772,48105
108772,48105
108774,48105
108774,48105
108774,48105
108774,48105
108774,48105
108774,48105
108776,48104
108776,48104
108776,48104
108776,48104
108778,48104
108778,48104
108778,48104
108778,48104
108780,60647
108780,60647
108782,48103
108782,48103
108782,48103
108782,48103
108782,48103
108782,48103
108784,48103
108784,48103
108784,48103
108784,48103
108784,48103
108784,48103
108788,48197
108788,48197
108788,48197
108788,48197
108788,48197
108788,48197
108790,48104
108790,48104
108790,48104
108790,48104
108800,48176
108802,48105
108802,48105
108802,48105
108802,48105
108802,48105
108802,48105
108804,48416
